speed/Mbps,r_time_1,loss_1,r_time_2,loss_2,r_time_3,loss_3,r_time_4,loss_4,r_time_5,loss_5,r_time_6,loss_6,r_time_7,loss_7,r_time_8,loss_8,r_time_9,loss_9,r_time_10,loss_10,r_time_11,loss_11,r_time_12,loss_12,r_time_13,loss_13,r_time_14,loss_14,r_time_15,loss_15,r_time_16,loss_16,r_time_17,loss_17,r_time_18,loss_18,r_time_19,loss_19,r_time_20,loss_20,r_time_21,loss_21,r_time_22,loss_22,r_time_23,loss_23,r_time_24,loss_24,r_time_25,loss_25,r_time_26,loss_26,r_time_27,loss_27,r_time_28,loss_28,r_time_29,loss_29,r_time_30,loss_30,r_time_31,loss_31,r_time_32,loss_32,r_time_33,loss_33,r_time_34,loss_34,r_time_35,loss_35,r_time_36,loss_36,r_time_37,loss_37,r_time_38,loss_38,r_time_39,loss_39,r_time_40,loss_40,r_time_41,loss_41,r_time_42,loss_42,r_time_43,loss_43,r_time_44,loss_44,r_time_45,loss_45,r_time_46,loss_46,r_time_47,loss_47,r_time_48,loss_48,r_time_49,loss_49,r_time_50,loss_50
1,0.09906745,-0.015625,0.101019144,-0.015625,0.100000143,-0.015625,0.099003553,-0.015625,0.102050066,-0.015625,0.104067564,-0.015625,0.101887226,-0.015625,0.101471424,-0.015625,0.106055975,-0.015625,0.099874735,-0.015625,0.100139141,-0.015625,0.102658033,-0.015625,0.100963354,-0.015625,0.102003574,-0.015625,0.101479053,-0.015625,0.102811575,-0.015625,0.102175236,-0.015625,0.100675344,-0.015625,0.101504803,-0.015625,0.103438139,-0.015625,0.103074312,-0.015625,0.1011765,-0.015625,0.100795984,-0.015625,0.103207111,-0.015625,0.101355553,-0.015625,0.100660563,-0.015625,0.118714094,-0.015625,0.110286713,-0.015625,0.100325584,-0.015625,0.118193388,-0.015625,0.101091862,-0.015625,0.106009483,-0.015625,0.101696491,-0.015625,0.101394653,-0.015625,0.389405012,-0.015625,0.102346897,-0.015625,0.101727247,-0.015625,0.102282763,-0.015625,0.101061821,-0.015625,0.102878332,-0.015625,0.102350235,-0.015625,0.102855682,-0.015625,0.100241423,-0.015625,0.102099419,-0.015625,0.100189447,-0.015625,0.101825714,-0.015625,0.101674557,-0.015625,0.103569746,-0.015625,0.101698637,-0.015625,0.101100206,-0.015625
2,0.106387138,-0.015625,0.104577541,-0.015625,0.104152203,-0.015625,0.103384256,-0.015625,0.10543108,-0.015625,0.133835316,-0.015625,0.1186378,-0.015625,0.10400033,-0.015625,0.105205536,-0.015625,0.104587078,-0.015625,0.105089188,-0.015625,0.105480671,-0.015625,0.10285449,-0.015625,0.104299307,-0.015625,0.104203224,-0.015625,0.103143692,-0.015625,0.104683161,-0.015625,0.106267929,-0.015625,0.110360861,-0.015625,0.103619814,-0.015625,0.103657007,-0.015625,0.10403347,-0.015625,0.104036331,-0.015625,0.102969408,-0.015625,0.104350328,-0.015625,0.103219271,-0.015625,0.103585482,-0.015625,0.10326004,-0.015625,0.105940819,-0.015625,0.104275942,-0.015625,0.103554726,-0.015625,0.1044631,-0.015625,0.103308678,-0.015625,0.105191469,-0.015625,0.102785587,-0.015625,0.104226828,-0.015625,0.103413105,-0.015625,0.103319168,-0.015625,0.103559732,-0.015625,0.108363152,-0.015625,0.10349226,-0.015625,0.103770018,-0.015625,0.103595257,-0.015625,0.105289221,-0.015625,0.103475094,-0.015625,0.105077267,-0.015625,0.103047132,-0.015625,0.105163813,-0.015625,0.103428602,-0.015625,0.105804682,-0.015625
3,0.105198622,-0.015625,0.104282856,-0.015625,0.105178118,-0.015625,0.119194269,-0.015625,0.105927706,-0.015625,0.104496956,-0.015625,0.106216192,-0.015625,0.104300022,-0.015625,0.104525328,-0.015625,0.105718374,-0.015625,0.106193781,-0.015625,0.106081009,-0.015625,0.104712963,-0.015625,0.105667353,-0.015625,0.123998165,-0.015625,0.104941607,-0.015625,0.105383158,-0.015625,0.105029821,-0.015625,0.106809139,-0.015625,0.105239868,-0.015625,0.107977867,-0.015625,0.11423254,-0.015625,0.106095076,-0.015625,0.103321314,-0.015625,0.10448122,-0.015625,0.114709377,-0.015625,0.105701685,-0.015625,0.105494976,-0.015625,0.104203224,-0.015625,0.10436368,-0.015625,0.105681181,-0.015625,0.107574701,-0.015625,0.106332541,-0.015625,0.121385813,-0.015625,0.106349707,-0.015625,0.105996609,-0.015625,0.105801344,-0.015625,0.10477972,-0.015625,0.106290579,-0.015625,0.105981588,-0.015625,0.104408503,-0.015625,0.105003595,-0.015625,0.103001595,-0.015625,0.105998039,-0.015625,0.103997469,-0.015625,0.106005669,-0.015625,0.102999687,-0.015625,0.103992939,-0.015625,0.103997231,-0.015625,0.105992556,-0.015625
4,0.105001926,-0.015625,0.107003927,-0.015625,0.104998589,-0.015625,0.10554719,-0.015625,0.10500145,-0.015625,0.107002497,-0.015625,0.105053663,-0.015625,0.106971502,-0.015625,0.106899977,-0.015625,0.105150938,-0.015625,0.106999636,-0.015625,0.104998589,-0.015625,0.104971647,-0.015625,0.105973482,-0.015625,0.107003927,-0.015625,0.105964661,-0.015625,0.10599947,-0.015625,0.106995106,-0.015625,0.104995489,-0.015625,0.106991529,-0.015625,0.107991934,-0.015625,0.106999874,-0.015625,0.105003595,-0.015625,0.105995417,-0.015625,0.105000019,-0.015625,0.105789661,-0.015625,0.105991602,-0.015625,0.105997324,-0.015625,0.109997511,-0.015625,0.106999874,-0.015625,0.105864048,-0.015625,0.105003357,-0.015625,0.106005192,-0.015625,0.105999708,-0.015625,0.106074333,-0.015625,0.106005192,-0.015625,0.105995655,-0.015625,0.105998278,-0.015625,0.105992079,-0.015625,0.112993479,-0.015625,0.107002258,-0.015625,0.105005026,-0.015625,0.106992006,-0.015625,0.105998755,-0.015625,0.106992006,-0.015625,0.108001471,-0.015625,0.102967262,-0.015625,0.106000662,-0.015625,0.105972767,-0.015625,0.105557442,-0.015625
5,0.105968475,-0.015625,0.107000589,-0.015625,0.107026577,-0.015625,0.106231928,-0.015625,0.108998775,-0.015625,0.105000019,-0.015625,0.106999397,-0.015625,0.108999491,-0.015625,0.106000662,-0.015625,0.107000828,-0.015625,0.108999014,-0.015625,0.113999605,-0.015625,0.110997915,-0.015625,0.108000517,-0.015625,0.108999491,-0.015625,0.106999159,-0.015625,0.107999563,-0.015625,0.107001543,-0.015625,0.107003689,-0.015625,0.104999781,-0.015625,0.107002974,-0.015625,0.10599637,-0.015625,0.108004332,-0.015625,0.106004,-0.015625,0.108995914,-0.015625,0.108004332,-0.015625,0.106150627,-0.015625,0.107997894,-0.015625,0.106990099,-0.015625,0.106003523,-0.015625,0.107664585,-0.015625,0.106096268,-0.015625,0.108001709,-0.015625,0.106260061,-0.015625,0.108003139,-0.015625,0.107997894,-0.015625,0.110004663,-0.015625,0.106004953,-0.015625,0.109999895,-0.015625,0.10700202,-0.015625,0.106992722,-0.015625,0.106988668,-0.015625,0.106007576,-0.015625,0.110992193,-0.015625,0.107993126,-0.015625,0.108006716,-0.015625,0.10599947,-0.015625,0.105998755,-0.015625,0.108997107,-0.015625,0.106968403,-0.015625
6,0.106007814,-0.015625,0.106989384,-0.015625,0.111120462,-0.015625,0.107528925,-0.015625,0.106969357,-0.015625,0.106486082,-0.015625,0.10500145,-0.015625,0.105958462,-0.015625,0.105995417,-0.015625,0.109973907,-0.015625,0.109249115,-0.015625,0.107034445,-0.015625,0.109480381,-0.015625,0.106968164,-0.015625,0.10724473,-0.015625,0.106690884,-0.015625,0.108026505,-0.015625,0.1079669,-0.015625,0.10782218,-0.015625,0.109001637,-0.015625,0.10697031,-0.015625,0.108004332,-0.015625,0.105996847,-0.015625,0.10599494,-0.015625,0.108004332,-0.015625,0.106997252,-0.015625,0.107104778,-0.015625,0.105999708,-0.015625,0.108996868,-0.015625,0.10699749,-0.015625,0.105966568,-0.015625,0.106344938,-0.015625,0.105970144,-0.015625,0.108000278,-0.015625,0.105970621,-0.015625,0.108991623,-0.015625,0.108971596,-0.015625,0.105973482,-0.015625,0.108226061,-0.015625,0.11697197,-0.015625,0.105998278,-0.015625,0.111998081,-0.015625,0.106995583,-0.015625,0.106997967,-0.015625,0.106997967,-0.015625,0.107995272,-0.015625,0.105000019,-0.015625,0.107001305,-0.015625,0.105998755,-0.015625,0.107806206,-0.015625
7,0.106993437,-0.015625,0.107997894,-0.015625,0.108003139,-0.015625,0.109995127,-0.015625,0.108996153,-0.015625,0.107000351,-0.015625,0.106334925,-0.015625,0.105031252,-0.015625,0.105000019,-0.015625,0.106040478,-0.015625,0.107000589,-0.015625,0.105089664,-0.015625,0.106997252,-0.015625,0.106361866,-0.015625,0.105020761,-0.015625,0.105998278,-0.015625,0.104818821,-0.015625,0.107752562,-0.015625,0.108311176,-0.015625,0.107262373,-0.015625,0.108877897,-0.015625,0.106454372,-0.015625,0.10678792,-0.015625,0.108147621,-0.015625,0.107676506,-0.015625,0.107050896,-0.015625,0.108682871,-0.015625,0.106639385,-0.015625,0.107294321,-0.015625,0.108011484,-0.015625,0.110469103,-0.015625,0.104367018,-0.015625,0.108631372,-0.015625,0.106915474,-0.015625,0.109126329,-0.015625,0.106976986,-0.015625,0.107561827,-0.015625,0.108237267,-0.015625,0.107159615,-0.015625,0.132885218,-0.015625,0.106622219,-0.015625,0.107003927,-0.015625,0.107865095,-0.015625,0.10783577,-0.015625,0.108363867,-0.015625,0.107900143,-0.015625,0.107729197,-0.015625,0.120296478,-0.015625,0.10670948,-0.015625,0.10864234,-0.015625
8,0.106070757,-0.015625,0.107197046,-0.015625,0.108654737,-0.015625,0.108156681,-0.015625,0.106688499,-0.015625,0.107989311,-0.015625,0.109800577,-0.015625,0.106993437,-0.015625,0.106491089,-0.015625,0.105897188,-0.015625,0.109506607,-0.015625,0.105908871,-0.015625,0.106831074,-0.015625,0.10683918,-0.015625,0.106977463,-0.015625,0.106331348,-0.015625,0.105913877,-0.015625,0.121685505,-0.015625,0.110475302,-0.015625,0.105945587,-0.015625,0.106886148,-0.015625,0.105589151,-0.015625,0.140206814,-0.015625,0.108072758,-0.015625,0.108845949,-0.015625,0.108599424,-0.015625,0.107245684,-0.015625,0.105366707,-0.015625,0.10853076,-0.015625,0.106355667,-0.015625,0.107411861,-0.015625,0.107395411,-0.015625,0.107526779,-0.015625,0.106387377,-0.015625,0.106247425,-0.015625,0.106247663,-0.015625,0.109196424,-0.015625,0.110841513,-0.015625,0.110646963,-0.015625,0.107494593,-0.015625,0.106561422,-0.015625,0.107046127,-0.015625,0.105616331,-0.015625,0.107397079,-0.015625,0.10712266,-0.015625,0.107653379,-0.015625,0.107738018,-0.015625,0.107491255,-0.015625,0.10641861,-0.015625,0.107066154,-0.015625
9,0.110272884,-0.015625,0.108887196,-0.015625,0.106709242,-0.015625,0.107396603,-0.015625,0.106148005,-0.015625,0.111374617,-0.015625,0.107459307,-0.015625,0.107194185,-0.015625,0.106015921,-0.015625,0.107532978,-0.015625,0.107650042,-0.015625,0.108617067,-0.015625,0.106757402,-0.015625,0.109331608,-0.015625,0.395689011,-0.015625,0,1,0.105980873,-0.015625,0.121858835,-0.015625,0.105498075,-0.015625,0.107154846,-0.015625,0.106669426,-0.015625,0.108439445,-0.015625,0.130918264,-0.015625,0.10803771,-0.015625,0.107149839,-0.015625,0.10504365,-0.015625,0.108554602,-0.015625,0.108527899,-0.015625,0.106368065,-0.015625,0.106857777,-0.015625,0.111114264,-0.015625,0.107534647,-0.015625,0.107702732,-0.015625,0.105334282,-0.015625,0.52884078,-0.015625,0.108877659,-0.015625,0.109201908,-0.015625,0.105146885,-0.015625,0.108783245,-0.015625,0.106021404,-0.015625,0.107917309,-0.015625,0.106547832,-0.015625,0.108881235,-0.015625,0.108108759,-0.015625,0.104868412,-0.015625,0.107770443,-0.015625,0.105535984,-0.015625,0.107497454,-0.015625,0.109436274,-0.015625,0.107588768,-0.015625
10,0.112606287,-0.0078125,0.112469673,-0.0078125,0.112684011,-0.0078125,0.112998962,-0.0078125,0.112000704,-0.0078125,0.113406181,-0.0078125,0.111480713,-0.0078125,0.112292767,-0.0078125,0.109455347,-0.0078125,0.110967875,-0.0078125,0.110999823,-0.0078125,0.120999575,-0.0078125,0.112018585,-0.0078125,0.111969233,-0.0078125,0.111997843,-0.0078125,0.114000082,-0.0078125,0.111999512,-0.0078125,0.111999273,-0.0078125,0.121999741,-0.0078125,0.11000061,-0.0078125,0.112002134,-0.0078125,0.112355471,-0.0078125,0.121000051,-0.0078125,0.112000227,-0.0078125,0.110996723,-0.0078125,0.111994028,-0.0078125,0.11599803,-0.0078125,0.117994785,-0.0078125,0.127000332,-0.0078125,0.112999678,-0.0078125,0.109997511,-0.0078125,0.112998486,-0.0078125,0.112854719,-0.0078125,0.110999584,-0.0078125,0.128343344,-0.0078125,0.111752272,-0.0078125,0.113027573,-0.0078125,0.113199711,-0.0078125,0.11244154,-0.0078125,0.11199522,-0.0078125,0.11589098,-0.0078125,0.111971855,-0.0078125,0.113996744,-0.0078125,0.112001181,-0.0078125,0.112000465,-0.0078125,0.114000082,-0.0078125,0.115000248,-0.0078125,0.113000154,-0.0078125,0.113280773,-0.0078125,0.112516403,-0.0078125
